cve_id,status,repo_url,issues,commits_sha,commits_sha_begin,std_version,edition,备注
CVE-2018-1000657,rust-lang,https://github.com/rust-lang/rust,https://github.com/rust-lang/rust/issues/44800,f71b37bc28326e272a37b938e835d4f99113eec2,,1.20.0,,1.21.0
CVE-2019-1010299,rust-lang,https://github.com/rust-lang/rust,https://github.com/rust-lang/rust/issues/53566,b85e4cc8fadaabd41da5b9645c08c68b8f89908d,,1.28.0,,1.29.0
CVE-2018-20995,完成,https://github.com/gnzlbg/slice_deque,https://github.com/gnzlbg/slice_deque/issues/57,70c87a49451c4dfcb170461ad9c55fe2f104b7b4,,,2018,
CVE-2018-20996,进行中,https://github.com/crossbeam-rs/crossbeam-epoch,https://github.com/crossbeam-rs/crossbeam-epoch/issues/82,,,,,
CVE-2019-15543,进行中,https://github.com/gnzlbg/slice_deque,https://github.com/gnzlbg/slice_deque/issues/57,,,,,
CVE-2019-15547,进行中,https://github.com/jeaye/ncurses-rs,"https://github.com/jeaye/ncurses-rs/issues/172, https://github.com/RustSec/advisory-db/issues/106",,,,,
CVE-2019-15548,进行中,https://github.com/jeaye/ncurses-rs,"https://github.com/jeaye/ncurses-rs/issues/172, https://github.com/RustSec/advisory-db/issues/106",,,,,
CVE-2019-15552,进行中,https://github.com/sile/libflate,https://github.com/sile/libflate/issues/35,ffeff7c65deac5a6f886db2a59bcae4e420e4706,,,,
CVE-2019-15551,完成,https://github.com/servo/rust-smallvec,https://github.com/servo/rust-smallvec/issues/149,f96322b9243405cc82701cc73f1b19313b413ab4,,1.57,,
CVE-2019-15554,进行中,https://github.com/servo/rust-smallvec,https://github.com/servo/rust-smallvec/issues/149,,,,,
CVE-2019-15553,完成,https://github.com/Gilnaa/memoffset,https://github.com/Gilnaa/memoffset/issues/9,9a7d4664aaf2e75d457c39140ee67f3a4813811e,31a8de9c2f9b096352c4df3877aa8d3df5b73d07,1.85.0,,
CVE-2018-20991,完成,https://github.com/servo/rust-smallvec,https://github.com/servo/rust-smallvec/issues/96,1f4025218c4321ea42ad01d80dd6110def2d86d9,26b249075930b46cfafc70b1d18fd0cb35fd2314,1.57,,在commit中有测试代码
CVE-2019-16882,进行中,https://github.com/Robbepop/string-interner,https://github.com/Robbepop/string-interner/issues/9,04731e101fed08a32942d52790e1c8c6ede61889,ef7a6454baabe7cd3d32b56aefb2768b4be02079,,2021,
CVE-2019-16881,完成,https://github.com/mvdnes/portaudio-rs,https://github.com/mvdnes/portaudio-rs/issues/20,f282e8c9c37b86859f5a3c3f032cedc6b6a650da,8a1f47d6c4a42eba2221db858206afbb84401b97,,,
CVE-2019-16880,完成,https://github.com/strake/linea.rs,https://github.com/strake/linea.rs/issues/2,9d2fba1f76d076478b50446e4738c219516e63d8,4588e13e26c9130335a7ebbf5683a6a0679619b6,,,
CVE-2019-16144,完成,https://github.com/Xudong-Huang/generator-rs,https://github.com/Xudong-Huang/generator-rs/issues/11,25963e871a1b951322f90e4c213472cccb3408f6,,1.73,,
CVE-2019-16139,完成,https://github.com/llogiq/compact_arena,https://github.com/llogiq/compact_arena/issues/22,eb413b3d47baea8e8a0b9ce2ccd8299b354d3b74,,,2018,
CVE-2019-16137,完成,https://github.com/mvdnes/spin-rs,https://github.com/mvdnes/spin-rs/issues/65,33b18f40fef77b22d52b5a623136a68c4f9a6073,0df01c9d0c5d42166dc49e903002f53978ef10e5,1.60,,
CVE-2019-16140,进行中,https://github.com/sagebind/isahc,https://github.com/sagebind/isahc/issues/2,9e9f1fb44114078c000c78c72e691eeb9e7ac260,,,,
CVE-2020-15254,完成,https://github.com/crossbeam-rs/crossbeam,https://github.com/crossbeam-rs/crossbeam/issues/539,be327d581e8434a2ba41b74affc915f42d8abfcd,,1.61,,
CVE-2020-27174,进行中,https://github.com/firecracker-microvm/firecracker,https://github.com/firecracker-microvm/firecracker/issues/2177,,,,,
